Nom;Molecule;Dosage;Unite;Forme;Presentation;PPV;Remboursement
VIRAFERON PEG;INTERFERON ALFA-2B PEGYLE;150;µG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; -     ;70%
FONGICAN;FLUCONAZOLE;150;MG;GELULE;1 BOITE 4 GELULE; 68,00   ;70%
BRONCHOKOD SANS SUCRE;CARBOCYSTEINE;5;%;SIROP;1 FLACON 125 ML; 22,95   ;0%
RETIMAX;PENTOXIFYLLINE;400;MG;COMPRIME;1 BOITE 60 COMPRIME; 140,00   ;0%
MITOXANTRONE EBEWE;MITOXANTRONE;10;MG;SOLUTION A DILUER POUR PERFUSION;1 BOITE 1 FLACON; 1 199,00   ;70%
VASTAREL;TRIMETAZIDINE;20;MG;COMPRIME PELLICULE;1 BOITE 60 COMPRIME; 115,90   ;70%
BUPIVACAINE MYLAN RACHIANESTHESIE 20 MG/4 ML;BUPIVACAINE;0.5;%;SOLUTION INJECTABLE;1 BOITE 20 FLACON; 796,00   ;70%
MOLGAM 100 MG;ACIDE TIAPROFENIQUE;100;MG;COMPRIME;1 BOITE 30 COMPRIME; 30,00   ;70%
EFFERALGAN;PARACETAMOL;3;%;SOLUTION BUVABLE;1 FLACON 90 ML; 18,80   ;70%
ALKERAN;MELPHALAN;2;MG;COMPRIME;1 BOITE 50 COMPRIME; 100,40   ;70%
NO-SPA;DROTAVERINE;80;MG;COMPRIME;1 BOITE 20 COMPRIME; 45,00   ;70%
NO-SPA;DROTAVERINE;80;MG;COMPRIME;1 BOITE 20 COMPRIME; 45,00   ;70%
BIOSULIN N;INSULINE HUMAINE;100;UI;SUSPENSION INJECTABLE INTERMEDIAIRE;1 FLACON 10 ML; 130,00   ;70%
TICLID;TICLOPIDINE;250;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME; 135,40   ;70%
LIFONGID;TERBINAFINE;1;%;CREME;1 TUBE 15 G; 40,00   ;70%
LIFONGID;TERBINAFINE;1;%;CREME;1 TUBE 15 G; 40,00   ;70%
SOMATULINE LP 60MG;LANREOTIDE;60;MG;SOLUTION INJECTABLE LP;1 BOITE 1 SERINGUE PREREMPLIE; 9 508,00   ;70%
SOMATULINE LP 60MG;LANREOTIDE;60;MG;SOLUTION INJECTABLE LP;1 BOITE 1 SERINGUE PREREMPLIE; 9 508,00   ;70%
EPREX 10000 UI/ML;EPOETINE ALFA;4000;UI;SOLUTION INJECTABLE;6 SERINGUE PREREMPLIE .4 ML; 2 374,00   ;70%
SEPTIVON;TRICLOCARBAN;0.5;%;SOLUTION MOUSSANTE POUR APPLICATION LOCALE;1 FLACON 500 ML; 50,50   ;0%
STATOR 40 MG;SIMVASTATINE;40;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME ENROBE; 171,00   ;70%
TENORDATE;NIFEDIPINE / ATENOLOL;20 / 50;MG / MG;GELULE;1 BOITE 30 GELULE; 148,20   ;70%
INEGY 10MG/10MG;SIMVASTATINE / EZETIMIBE;10 / 10;MG / MG;COMPRIME;1 BOITE 28 COMPRIME; 271,60   ;0%
LOMET;LANSOPRAZOLE;15;MG;GELULE;1 BOITE 7 GELULE; 25,00   ;70%
LISASPIN;ACIDE ACETYLSALICYLIQUE;500;MG;POUDRE POUR SOLUTION BUVABLE;1 BOITE 20 SACHET; 22,80   ;70%
BIODROXIL;CEFADROXIL;1;G;COMPRIME ENROBE;1 BOITE 12 COMPRIME; 153,00   ;70%
BRONCHOFLUIDE SANS SUCRE;CARBOCYSTEINE;5;%;SOLUTION BUVABLE;1 FLACON 300 ML; 39,30   ;0%
XYTENOL;ATENOLOL;100;MG;COMPRIME SECABLE;1 BOITE 28 COMPRIME SECABLE; 66,30   ;70%
ORACEFAL;CEFADROXIL;125;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 30,60   ;70%
FACTEUR IX DE COAGULATION HUMAIN-CNTS 50 UI/ML;FACTEUR IX;500;UI;POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON DE POUDRE + FLACON DE SOLVANT; 1 586,00   ;70%
GRISEO;GRISEOFULVINE;5;%;POMMADE;1 TUBE 15 G; 10,70   ;70%
ALFAMOX;AMOXICILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 100 ML; 39,20   ;70%
VEPESIDE;ETOPOSIDE;100;MG;SOLUTION POUR PERFUSION;1 BOITE 5 FLACON; -     ;70%
AFINITOR 5 MG;EVEROLIMUS;5;MG;COMPRIME;1 BOITE 30 COMPRIME; -     ;0%
VOGASET;ONDANSETRON;4;MG;SOLUTION A DILUER POUR PERFUSION;1 BOITE 1 AMPOULE INJECTABLE; 65,00   ;70%
AGIDERM;ACIDE FUSIDIQUE;2;%;CREME;1 TUBE 15 G; 28,00   ;70%
KARDEGIC 75MG;ACIDE ACETYLSALICYLIQUE;75;MG;POUDRE POUR SOLUTION BUVABLE;1 BOITE 30 SACHET DOSE; 32,00   ;0%
KARDEGIC 75MG;ACIDE ACETYLSALICYLIQUE;75;MG;POUDRE POUR SOLUTION BUVABLE;1 BOITE 30 SACHET DOSE; 32,00   ;0%
RAMIPRIL WIN;RAMIPRIL;5;MG;COMPRIME;1 BOITE 30 COMPRIME; 54,00   ;70%
RAMIPRIL WIN;RAMIPRIL;5;MG;COMPRIME;1 BOITE 30 COMPRIME; 54,00   ;70%
ULTRA-LEVURE;SACCHAROMYCES BOULARDII;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 10 SACHET; 38,10   ;0%
PROFLOX;CIPROFLOXACINE;500;MG;COMPRIME ENROBE;1 BOITE 20 COMPRIME; 270,00   ;70%
PROFLOX;CIPROFLOXACINE;500;MG;COMPRIME ENROBE;1 BOITE 20 COMPRIME; 270,00   ;70%
BETADINE;POLYVIDONE IODEE;10;%;GEL;1 TUBE 100 G; -     ;0%
MYNAZOL;FLUCONAZOLE;150;MG;GELULE;1 BOITE 4 GELULE; 75,40   ;70%
MYNAZOL;FLUCONAZOLE;150;MG;GELULE;1 BOITE 4 GELULE; 75,40   ;70%
TECPRIL;RAMIPRIL;2.5;MG;GELULE;1 BOITE 30 GELULE; 50,00   ;70%
CHRONADALATE L.P;NIFEDIPINE;20;MG;COMPRIME OSMOTIQUE LP;1 BOITE 10 COMPRIME; 43,90   ;70%
DILATOR ECOSPRAY;SALBUTAMOL;100;µG;SUSPENSION POUR INHALATION;1 FLACON 300 DOSE; 55,00   ;70%
DILATOR ECOSPRAY;SALBUTAMOL;100;µG;SUSPENSION POUR INHALATION;1 FLACON 300 DOSE; 55,00   ;70%
INTETRIX;TILIQUINOL / TILBROQUINOL;50 / 200;MG / MG;GELULE;1 BOITE 40 GELULE; 60,00   ;70%
COAPROVEL;IRBESARTAN / HYDROCHLOROTHIAZIDE;150 / 12.5;MG / MG;COMPRIME ENROBE;1 BOITE 28 COMPRIME; 174,50   ;70%
ACIDE DEXTROSE EM 80 D2;CONCENTRE POUR HEMODIALYSE;;NA;SOLUTE CONCENTRE;1 BIDON 5 L; 80,00   ;70%
ONGECIN;GEMCITABINE;1;G;POUDRE POUR SOLUTION POUR PERFUSION;1 FLACON 50 ML; 971,00   ;70%
EXELON PATCH 10;RIVASTIGMINE;18;MG;DISPOSITIF TRANSDERMIQUE;1 BOITE 30 PATCH; 1 025,00   ;0%
VIRAFERONPEG 80 µG;INTERFERON ALFA-2B PEGYLE;80;µG;POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;1 BOITE 1 STYLO PRE-REMPLI; 1 692,00   ;70%
ARIXTRA 2.5 MG/0.5 ML;FONDAPARINUX SODIQUE;2.5;MG;SOLUTION INJECTABLE;1 BOITE 10 SERINGUE PREREMPLIE; 957,00   ;0%
OROTREX;ISOTRETINOINE;10;MG;CAPSULE MOLLE;1 BOITE 30 CAPSULE; 188,00   ;70%
GRISEOPHARM;GRISEOFULVINE;250;MG;COMPRIME;1 BOITE 30 COMPRIME; 32,90   ;70%
PROCTOLOG;TRIMEBUTINE / RUSCOGENINE;0.12 / 0.01;G / G;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 33,85   ;0%
VELAXOR LP;VENLAFAXINE;37.5;MG;GELULE LP;1 BOITE 30 GELULE LP; 94,00   ;70%
ARTHRODONT 1 %;ENOXOLONE;1;G;PATE DENTAIRE;1 TUBE 80 G; 20,20   ;0%
DILATREND;CARVEDILOL;6.25;MG;COMPRIME;1 BOITE 30 COMPRIME; 73,50   ;70%
GLUCOR;ACARBOSE;50;MG;COMPRIME;1 BOITE 30 COMPRIME; 49,70   ;70%
ULTIVA 1 MG;REMIFENTANIL;1;MG;POUDRE POUR PREPARATION INJECTABLE;1 BOITE 5 AMPOULE; -     ;0%
ULTIVA 1 MG;REMIFENTANIL;1;MG;POUDRE POUR PREPARATION INJECTABLE;1 BOITE 5 AMPOULE; -     ;0%
PULPERYL;PROCAINE;4.1;G;SOLUTION POUR APPLICATION LOCALE;1 FLACON 13 ML; 160,00   ;0%
BIOTIC PLUS;AMOXICILLINE / ACIDE CLAVULANIQUE;1 / 125;G / MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 24 SACHET; 203,00   ;70%
BONDRONAT;ACIDE IBANDRONIQUE;50;MG;COMPRIME ENROBE;1 BOITE 28 COMPRIME; 2 965,00   ;70%
AVENOC;SOUCHE HOMEOPATHIQUE;;NA;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 46,00   ;0%
DANTRON;ONDANSETRON;4;MG;SOLUTION INJECTABLE;1 BOITE 1 AMPOULE INJECTABLE; 68,00   ;70%
PRILVAS;ENALAPRIL;5;MG;COMPRIME SECABLE;1 BOITE 28 COMPRIME; 51,80   ;70%
SYNNAX;LAMOTRIGINE;50;MG;COMPRIME;1 BOITE 60 COMPRIME; 283,00   ;70%
SYNNAX;LAMOTRIGINE;50;MG;COMPRIME;1 BOITE 60 COMPRIME; 283,00   ;70%
RETISOL-A;TRETINOINE;0.05;%;CREME;1 TUBE 25 G; 97,70   ;0%
AERRANE;ISOFLURANE;100;%;SOLUTION POUR INHALATION;1 FLACON 250 ML; 554,30   ;0%
AERRANE;ISOFLURANE;100;%;SOLUTION POUR INHALATION;1 FLACON 250 ML; 554,30   ;0%
OKA-DOCETAXEL;DOCETAXEL;80;MG;SOLUTION A DILUER POUR PERFUSION;1 FLACON 2 ML; 2 877,00   ;70%
MAXILASE;ALFA-AMYLASE;3000;U CEIP;COMPRIME ENROBE;1 BOITE 24 COMPRIME ENROBE; 60,10   ;0%
PROSTIGMINE;NEOSTIGMINE;0.5;MG;SOLUTION INJECTABLE;1 BOITE 6 AMPOULE INJECTABLE; 41,00   ;70%
BIOSULIN 30/70 MIXTE;INSULINE HUMAINE;100;UI;SUSPENSION INJECTABLE INTERMEDIAIRE;1 FLACON 10 ML; 130,00   ;70%
BACTOX;AMOXICILLINE;500;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 35,70   ;70%
STEROGYL GOUTTES;ERGOCALCIFEROL (VITAMINE D2);2;MUI;SOLUTION POUR GOUTTES BUVABLES;1 FLACON 20 ML; 15,50   ;70%
OPTICILLINE;AMPICILLINE;500;MG;GELULE;1 BOITE 24 GELULE; 83,40   ;70%
MELOXICAM GT;MELOXICAM;7.5;MG;COMPRIME;1 BOITE 30 COMPRIME; 72,10   ;70%
MELOXICAM GT;MELOXICAM;7.5;MG;COMPRIME;1 BOITE 30 COMPRIME; 72,10   ;70%
MEGASFON;PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL;80 / 80;MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 22,80   ;70%
MEGASFON;PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL;80 / 80;MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 22,80   ;70%
BEROCCA ZINC;MULTIVITAMINES ET MINERAUX;;NA;COMPRIME EFFERVESCENT;1 BOITE 20 COMPRIME EFFERVESCENT; 84,20   ;0%
MYK;SULCONAZOLE;1;%;CREME;1 TUBE 15 G; 39,60   ;70%
INSULINE INSULATARD HM PENFILL;INSULINE HUMAINE;100;UI;SUSPENSION INJECTABLE INTERMEDIAIRE;5 CARTOUCHE 3 ML; 350,00   ;70%
TAVANIC;LEVOFLOXACINE;500;MG;COMPRIME PELLICULE SECABLE;1 BOITE 5 COMPRIME; 145,00   ;70%
PHENOCILLINE;PHENOXYMETHYLPENICILLINE;1;MUI;COMPRIME SECABLE;1 BOITE 24 COMPRIME SECABLE; 58,50   ;70%
PNEUMOCCID;AMOXICILLINE;250;MG;COMPRIME DISPERSIBLE;1 BOITE 24 COMPRIME; 48,90   ;70%
LEVITRA;VARDENAFIL;10;MG;COMPRIME PELLICULE;1 BOITE 2 COMPRIME; 128,00   ;0%
RISPERDAL ORO 3MG;RISPERIDONE;3;MG;COMPRIME ORODISPERSIBLE;1 BOITE 28 COMPRIME ORODISPERSIBLE; 574,70   ;0%
POLYTAR LIQUIDE;MELANGE DE GOUDRON;1;%;SHAMPOOING;1 FLACON 150 ML; 104,50   ;0%
CHONDROSULF 400 MG;CHONDROITINE;400;MG;GELULE;1 BOITE 84 GELULE; 287,20   ;0%
BEMAG;MAGNESIUM / PYRIDOXINE (VITAMINE B6);0.5 / 0.125;G / G;SOLUTION BUVABLE;1 BOITE 20 AMPOULE BUVABLE; 41,80   ;0%
ADRONAT 70 MG;ALENDRONATE;70;MG;COMPRIME;1 BOITE 4 COMPRIME; 232,00   ;70%
TAXOL;PACLITAXEL;30;MG;SOLUTION A DILUER POUR PERFUSION;1 FLACON 5 ML; 619,00   ;70%
BIOMOX;AMOXICILLINE;1;G;COMPRIME DISPERSIBLE;1 BOITE 12 COMPRIME; 56,10   ;70%
STATOR 40 MG;SIMVASTATINE;40;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME ENROBE; 171,00   ;70%
ACIDE ALENDRONIQUE GT;ALENDRONATE;70;MG;COMPRIME PELLICULE;1 BOITE 4 COMPRIME; 264,00   ;70%
PROGRAF;TACROLIMUS;1;MG;GELULE;1 BOITE 100 GELULE; 1 980,00   ;70%
PROGRAF;TACROLIMUS;1;MG;GELULE;1 BOITE 100 GELULE; 1 980,00   ;70%
TELEBRIX 30 MEGLUMINE;IOXITALAMATE DE MEGLUMINE;19.81;G;SOLUTION INJECTABLE;1 FLACON 30 ML; 67,20   ;0%
DICLO PHARMA 5;DICLOFENAC;50;MG;COMPRIME GASTRO-RESISTANT;1 BOITE 20 COMPRIME; 32,40   ;70%
TOTIFEN;KETOTIFENE;1;MG;GELULE;1 BOITE 30 GELULE; 58,25   ;0%
MOLGAM 200 MG;ACIDE TIAPROFENIQUE;200;MG;COMPRIME;1 BOITE 10 COMPRIME; 22,00   ;70%
NAUSELIUM 10 MG;DOMPERIDONE;10;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME PELLICULE; 29,00   ;70%
UMAX 400 µG LP;TAMSULOSINE;0.4;MG;GELULE LP;1 BOITE 30 GELULE LP; 121,40   ;70%
LANTUS;INSULINE HUMAINE;100;UI;SOLUTION INJECTABLE LP;3 CARTOUCHE 3 ML; 558,00   ;70%
TIMOPTOL;TIMOLOL;0.5;%;COLLYRE;1 FLACON 3 ML; 54,80   ;70%
BRONCHOFLUIDE;CARBOCYSTEINE;5;%;SOLUTION BUVABLE;1 FLACON 300 ML; 39,80   ;0%
AMAREL;GLIMEPIRIDE;4;MG;COMPRIME;1 BOITE 30 COMPRIME; 84,00   ;70%
AMAREL;GLIMEPIRIDE;4;MG;COMPRIME;1 BOITE 30 COMPRIME; 84,00   ;70%
ALTEC;RAMIPRIL;2.5;MG;GELULE;1 BOITE 30 GELULE; 36,90   ;70%
HEXABRIX;IOXAGLATE DE SODIUM ET DE MEGLUMINE;320;MG;SOLUTION INJECTABLE;1 FLACON 50 ML; 337,30   ;0%
ZITHROMAX;AZITHROMYCINE;100;MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 3 SACHET; 72,40   ;70%
FONGICAN 50 MG;FLUCONAZOLE;50;MG;GELULE;1 BOITE 7 GELULE; 57,00   ;0%
DAILY GÉ;LEVONORGESTREL / ETHINYLESTRADIOL;0.05 / 0.03;MG / MG;COMPRIME ENROBE;1 BOITE 21 COMPRIME ENROBE; 21,40   ;0%
ZYRDOL-GYN;METRONIDAZOLE;500;MG;OVULE;1 BOITE 10 OVULE; 25,00   ;70%
BULMOL;SALBUTAMOL;8;MG;GELULE;1 BOITE 10 GELULE LP; 38,00   ;70%
GLUCOPHAGE 850;METFORMINE;850;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 23,90   ;70%
IMUSPORIN;CICLOSPORINE;25;MG;CAPSULE MOLLE;1 BOITE 50 CAPSULE MOLLE; 544,00   ;70%
ATROPINE PROMOPHARM 1 MG;ATROPINE;1;MG;SOLUTION INJECTABLE;1 BOITE 100 AMPOULE INJECTABLE; 192,50   ;70%
FLUOCARIL BF 250;MONOFLUOROPHOSPHATE DE SODIUM;0.25;G;PATE DENTIFRICE;1 TUBE 50 G; 12,40   ;0%
TRIAXON;CEFTRIAXONE;250;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 33,00   ;70%
ROFERON-A;INTERFERON ALFA-2A;4.5;MUI;PREPARATION INJECTABLE;1 BOITE 1 SERINGUE; -     ;70%
TRIMOX;SULFAMETHOXAZOLE / TRIMETHOPRIME;400 / 80;MG / MG;COMPRIME;1 BOITE 20 COMPRIME; 21,50   ;70%
CLADIA;CLARITHROMYCINE;500;MG;COMPRIME ENROBE;1 BOITE 10 COMPRIME ENROBE; 137,30   ;70%
DURESAN;FUROSEMIDE;40;MG;COMPRIME;1 BOITE 20 COMPRIME; 18,30   ;70%
LAMICTAL;LAMOTRIGINE;25;MG;COMPRIME DISPERSIBLE;1 BOITE 30 COMPRIME; 89,80   ;70%
DIFLUCAN;FLUCONAZOLE;150;MG;GELULE;1 BOITE 1 GELULE; 57,50   ;70%
NEOMOX;AMOXICILLINE;1;G;COMPRIME DISPERSIBLE;1 BOITE 24 COMPRIME; 108,10   ;70%
ALGANTIL;IBUPROFENE;5;%;GEL;1 TUBE 100 G; 72,80   ;0%
RINGER LACTATE SOTHEMA;CHLORURE DE SODIUM / CHLORURE DE POTASSIUM;0.6 / 0.04;G / G;SOLUTION POUR PERFUSION;1 POCHE 500 ML; 21,50   ;0%
HAEMACCEL;GELATINE FLUIDE MODIFIEE;;NA;SOLUTION POUR PERFUSION;1 FLACON 500 ML; 71,00   ;70%
NOVOFEM;ESTRADIOL / NORETHISTERONE;1 / 1;MG / MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; 119,00   ;0%
DIALENS;DEXTRAN / CHLORHEXIDINE;5 / 5;G / MG;COLLYRE;1 FLACON 10 ML; 38,30   ;0%
GLUCOSE 5% SOTHEMA;GLUCOSE;5;%;SOLUTION POUR PERFUSION;1 POCHE 250 ML; 14,50   ;0%
OEDES 20 MG;OMEPRAZOLE;20;MG;GELULE;1 BOITE 56 GELULE; 140,00   ;0%
CARDIJECT;DOBUTAMINE;250;MG;POUDRE POUR USAGE PARENTERAL;1 BOITE 1 FLACON; 126,00   ;70%
ERYTHROCINE;ERYTHROMYCINE;1;G;GRANULE POUR SOLUTION BUVABLE;1 BOITE 10 SACHET; 76,25   ;70%
CALCINIB;AMLODIPINE;5;MG;COMPRIME;1 BOITE 14 COMPRIME; 35,00   ;70%
LUDIOMIL;MAPROTILINE;75;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME; 105,70   ;70%
TRIMOX FORT;SULFAMETHOXAZOLE / TRIMETHOPRIME;800 / 160;MG / MG;COMPRIME;1 BOITE 10 COMPRIME; 17,30   ;70%
ALZOLE 20 MG;OMEPRAZOLE;20;MG;GELULE;1 FLACON 7 GELULE; 28,90   ;70%
ALZOLE 20 MG;OMEPRAZOLE;20;MG;GELULE;1 FLACON 7 GELULE; 28,90   ;70%
BUSCOPAN;N-BUTYL HYOSCINE;10;MG;SUPPOSITOIRE;1 BOITE 6 SUPPOSITOIRE; 11,40   ;70%
AMOVAS;AMLODIPINE;5;MG;COMPRIME;1 BOITE 56 COMPRIME; 136,60   ;70%
FLUSTAPH;FLUCLOXACILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 100 ML; 48,00   ;70%
TROPHIRES ADULTES;HUILE ESSENTIELLE DEUCALYPTUS / TENOATE DE SODIUM;110 / 285;MG / MG;SUPPOSITOIRE;1 BOITE 8 SUPPOSITOIRE; 12,95   ;0%
HIPOTENSIL;CAPTOPRIL;50;MG;COMPRIME;1 BOITE 30 COMPRIME; 140,00   ;70%
VIRLIX;CETIRIZINE;10;MG;COMPRIME PELLICULE SECABLE;1 BOITE 15 COMPRIME; 52,00   ;70%
PNEUMOCCID;AMOXICILLINE;500;MG;GELULE;1 BOITE 24 GELULE; 69,35   ;70%
MYCOFLU 150 MG;FLUCONAZOLE;150;MG;GELULE;1 BOITE 7 GELULE; 130,00   ;70%
SPASFON 40 MG;PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL;40 / 0.04;MG / MG;SOLUTION INJECTABLE;6 AMPOULE 4 ML; 33,00   ;70%
SPASFON 40 MG;PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL;40 / 0.04;MG / MG;SOLUTION INJECTABLE;6 AMPOULE 4 ML; 33,00   ;70%
MIGRALGINE;PARACETAMOL / CAFEINE;400 / 62.5;MG / MG;GELULE;1 BOITE 18 GELULE; 21,50   ;0%
XERIUM 20 MG;PAROXETINE;20;MG;COMPRIME SECABLE;1 BOITE 28 COMPRIME SECABLE; 123,20   ;0%
SYMBICORT TURBUHALER;BUDESONIDE / FORMOTEROL;100 / 6;µG / µG;POUDRE POUR INHALATION;1 FLACON 120 DOSE; 243,00   ;70%
DOLIPRANE;PARACETAMOL;200;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 11,75   ;70%
TEMODAL;TEMOZOLOMIDE;5;MG;GELULE;1 FLACON 5 GELULE; 219,00   ;70%
TEMODAL;TEMOZOLOMIDE;20;MG;GELULE;1 FLACON 5 GELULE; 840,00   ;70%
LINCOCINE;LINCOMYCINE;250;MG;SIROP;1 FLACON 60 ML; 43,00   ;0%
RECORMON;EPOETINE BETA;500;UI;SOLUTION INJECTABLE;6 SERINGUE .3 ML; -     ;70%
FRAXIPARINE;NADROPARINE;3800;UI;SOLUTION INJECTABLE;1 BOITE 10 SERINGUE; 322,00   ;70%
PHARMAFLAM RETARD;DICLOFENAC;100;MG;COMPRIME LP;1 BOITE 20 COMPRIME; 61,80   ;70%
CORRECTOL;INOSINE MONOPHOSPHATE;0.1;%;COLLYRE;1 FLACON 10 ML; 20,00   ;0%
VELAXOR LP;VENLAFAXINE;75;MG;GELULE LP;1 BOITE 30 GELULE LP; 179,00   ;0%
NORMET;ATENOLOL;100;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME SECABLE; 82,00   ;70%
VERASKIN;ALOE VERA;4;%;GEL;1 TUBE 30 G; 18,85   ;0%
ASTAPH;FLUCLOXACILLINE;500;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 80,60   ;70%
GENTAMICINE LLORENTE;GENTAMICINE;160;MG;SOLUTION INJECTABLE;1 BOITE 6 AMPOULE INJECTABLE; 119,80   ;70%
INSPRA 50 MG;EPLERENONE;50;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME; 398,00   ;0%
BRONCHOFLUIDE;CARBOCYSTEINE;5;%;SOLUTION BUVABLE;1 FLACON 125 ML; 18,35   ;0%
MINIDIAB;GLIPIZIDE;5;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 26,50   ;70%
EZETROL;EZETIMIBE;10;MG;COMPRIME;1 BOITE 28 COMPRIME; 404,00   ;0%
NOVOCLIN;AMOXICILLINE / ACIDE CLAVULANIQUE;500 / 125;MG / MG;COMPRIME ENROBE;1 BOITE 24 COMPRIME; 224,40   ;70%
C-BAC 500 MG;CLARITHROMYCINE;500;MG;COMPRIME ENROBE;1 BOITE 7 COMPRIME ENROBE; 75,00   ;70%
TERFINE 250 MG PROMOPHARM;TERBINAFINE;250;MG;COMPRIME;1 BOITE 7 COMPRIME; 62,00   ;70%
TRITAZIDE 10MG / 25MG;RAMIPRIL / HYDROCHLOROTHIAZIDE;10 / 25;MG / MG;COMPRIME SECABLE;1 BOITE 14 COMPRIME SECABLE; 131,00   ;0%
INDOLAN;INDOMETACINE;50;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 23,50   ;70%
PRIMALAN;MEQUITAZINE;10;MG;COMPRIME SECABLE;1 BOITE 14 COMPRIME; 54,00   ;70%
NEOCLAV 100MG/12.5MG/ML NOURRISSON;AMOXICILLINE / ACIDE CLAVULANIQUE;100 / 12.5;MG / MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 30 ML; 38,00   ;70%
SUPANGINE;CHLORAMPHENICOL / BISMUTH SUCCINATE;125 / 40;MG / MG;SUPPOSITOIRE;1 BOITE 5 SUPPOSITOIRE; 11,70   ;0%
DOXYMYCINE;DOXYCYCLINE;200;MG;COMPRIME DISPERSIBLE;1 BOITE 10 COMPRIME; 70,00   ;70%
PRISDAL;RISPERIDONE;4;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 517,00   ;70%
BIOTIC PLUS;AMOXICILLINE / ACIDE CLAVULANIQUE;1 / 125;G / MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 24 SACHET; 203,00   ;70%
OMEGEN;OMEPRAZOLE;10;MG;GELULE GASTRO-RESISTANTE;1 BOITE 7 GELULE GASTRO-RESISTANTE; 35,00   ;70%
ALFAMOX;AMOXICILLINE;1;G;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 14 SACHET; 65,00   ;70%
ALFAMOX;AMOXICILLINE;1;G;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 14 SACHET; 65,00   ;70%
FLAGYL;METRONIDAZOLE;500;MG;OVULE;1 BOITE 10 OVULE; 36,30   ;70%
EUSAPRIM FORT;SULFAMETHOXAZOLE / TRIMETHOPRIME;800 / 160;MG / MG;COMPRIME SECABLE;1 BOITE 10 COMPRIME; 28,70   ;70%
ZOPIDOX;ZOLPIDEM;10;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME PELLICULE; 45,00   ;70%
CHLORTETRACYCLINE LAPROPHAN;CHLORTETRACYCLINE;1;%;POMMADE OPHTALMIQUE;1 TUBE 5 G; 5,10   ;0%
TECPRIL;RAMIPRIL;1.25;MG;GELULE;1 BOITE 30 GELULE; 40,00   ;70%
ALODONT;CETYLLPYRIDINIUM / CHLOROBUTANOL HEMYDRATE;5 / 50;MG / MG;SOLUTION POUR BAIN DE BOUCHE;1 FLACON 200 ML; 20,95   ;0%
VISUDYNE;VERTEPORFINE;15;MG;POUDRE POUR SOLUTION POUR PERFUSION;1 FLACON 10 ML; 14 700,00   ;0%
UMILINE NPH PEN;INSULINE HUMAINE;100;UI;SUSPENSION INJECTABLE INTERMEDIAIRE;1 CARTOUCHE 3 ML; 104,00   ;70%
GRISEOPHARM;GRISEOFULVINE;125;MG;COMPRIME;1 BOITE 32 COMPRIME; 22,00   ;70%
ZOCOR;SIMVASTATINE;40;MG;COMPRIME ENROBE GASTRO-RESISTANT;1 BOITE 28 COMPRIME; 232,00   ;70%
PROFLOX;CIPROFLOXACINE;500;MG;COMPRIME ENROBE;1 BOITE 10 COMPRIME; 144,00   ;70%
LASILIX SPECIAL;FUROSEMIDE;250;MG;SOLUTION INJECTABLE;5 AMPOULE 25 ML; 91,80   ;70%
